Day,Bar,Hour,Minute,Second
10,1,16,26,59
10,1,16,27,49
10,1,16,28,39
10,1,16,28,59
10,1,16,29,29
10,1,16,29,49
10,1,16,30,19
10,1,16,30,39
10,1,16,31,9
10,1,16,31,29
10,1,16,32,0
10,1,16,32,19
10,1,16,33,9
10,1,16,34,0
10,1,17,16,59
10,1,17,17,49
10,1,17,18,39
10,1,17,18,59
10,1,17,19,29
10,1,17,19,49
10,1,17,20,19
10,1,17,20,39
10,1,17,21,9
10,1,17,21,29
10,1,17,22,0
10,1,17,22,19
10,1,17,23,9
10,1,17,24,0
10,1,18,6,59
10,1,18,7,49
10,1,18,8,39
10,1,18,8,59
10,1,18,9,29
10,1,18,9,49
10,1,18,10,19
10,1,18,10,39
10,1,18,11,9
10,1,18,11,29
10,1,18,12,0
10,1,18,12,19
10,1,18,13,9
10,1,18,14,0
10,1,19,0,29
10,1,19,0,49
10,1,19,0,19
10,1,19,0,39
10,1,19,1,9
10,1,19,1,29
10,1,19,2,0
10,1,19,2,19
10,1,19,3,9
10,1,19,4,0
10,1,23,56,59
10,1,23,57,49
10,1,23,58,39
10,1,23,59,29
10,1,0,0,59
10,1,0,1,49
10,1,0,2,39
10,1,0,2,59
10,1,0,3,29
10,1,0,3,49
10,1,0,4,19
10,1,0,4,39
10,1,0,5,9
10,1,0,5,29
10,1,0,6,0
10,1,0,6,19
10,1,0,7,9
10,1,0,8,0
10,1,3,58,59
10,1,3,59,49
10,1,4,48,59
10,1,4,49,49
10,1,4,50,39
10,1,4,50,59
10,1,4,51,29
10,1,4,51,49
10,1,4,52,19
10,1,4,52,39
10,1,4,53,9
10,1,4,53,29
10,1,4,54,0
10,1,4,54,19
10,1,4,55,9
10,1,4,56,0
10,1,5,38,59
10,1,5,39,49
10,1,5,40,39
10,1,5,40,59
10,1,5,41,29
10,1,5,41,49
10,1,5,42,19
10,1,5,42,39
10,1,5,43,9
10,1,5,43,29
10,1,5,44,0
10,1,5,44,19
10,1,5,45,9
10,1,5,46,0
10,1,6,28,59
10,1,6,29,49
10,1,6,30,39
10,1,6,30,59
10,1,6,31,29
10,1,6,31,49
10,1,6,32,19
10,1,6,32,39
10,1,6,33,9
10,1,6,33,29
10,1,6,34,0
10,1,6,34,19
10,1,6,35,9
10,1,6,36,0
10,1,7,18,59
10,1,7,19,49
10,1,7,20,39
10,1,7,20,59
10,1,7,21,29
10,1,7,21,49
10,1,7,22,19
10,1,7,22,39
10,1,7,23,9
10,1,7,23,29
10,1,7,24,0
10,1,7,24,19
10,1,7,25,9
10,1,7,26,0
10,1,8,8,59
10,1,8,9,49
10,1,8,10,39
10,1,8,10,59
10,1,8,11,29
10,1,8,11,49
10,1,8,12,19
10,1,8,12,39
10,1,8,13,9
10,1,8,13,29
10,1,8,14,0
10,1,8,14,19
10,1,8,15,9
10,1,8,16,0
10,1,9,0,49
10,1,9,0,39
10,1,9,0,59
10,1,9,1,29
10,1,9,1,49
10,1,9,2,19
10,1,9,2,39
10,1,9,3,9
10,1,9,3,29
10,1,9,4,0
10,1,9,4,19
10,1,9,5,9
10,1,9,6,0
10,1,13,56,59
10,1,13,57,49
10,1,13,58,39
10,1,13,58,59
10,1,13,59,29
10,1,13,59,49
10,1,14,46,59
10,1,14,47,49
10,1,14,48,39
10,1,14,48,59
10,1,14,49,29
10,1,14,49,49
10,1,14,50,19
10,1,14,50,39
10,1,14,51,9
10,1,14,51,29
10,1,14,52,0
10,1,14,52,19
10,1,14,53,9
10,1,14,54,0
10,1,15,36,59
10,1,15,37,49
10,1,15,38,39
10,1,15,38,59
10,1,15,39,29
10,1,15,39,49
10,1,15,40,19
10,1,15,40,39
10,1,15,41,9
10,1,15,41,29
10,1,15,42,0
10,1,15,42,19
10,1,15,43,9
10,1,15,44,0
10,1,16,26,59
10,1,16,27,49
10,1,16,28,39
10,1,16,28,59
10,1,16,29,29
10,1,16,29,49
10,1,16,30,19
10,1,16,30,39
10,1,16,31,9
10,1,16,31,29
10,1,16,32,0
10,1,16,32,19
10,1,16,33,9
10,1,16,34,0
10,1,17,16,59
10,1,17,17,49
10,1,17,18,39
10,1,17,18,59
10,1,17,19,29
10,1,17,19,49
10,1,17,20,19
10,1,17,20,39
10,1,17,21,9
10,1,17,21,29
10,1,17,22,0
10,1,17,22,19
10,1,17,23,9
10,1,17,24,0
10,1,18,6,59
10,1,18,7,49
10,1,18,8,39
10,1,18,8,59
10,1,18,9,29
10,1,18,9,49
10,1,18,10,19
10,1,18,10,39
10,1,18,11,9
10,1,18,11,29
10,1,18,12,0
10,1,18,12,19
10,1,18,13,9
10,1,18,14,0
10,1,19,0,29
10,1,19,0,49
10,1,19,0,19
10,1,19,0,39
10,1,19,1,9
10,1,19,1,29
10,1,19,2,0
10,1,19,2,19
10,1,19,3,9
10,1,19,4,0
10,1,23,56,59
10,1,23,57,49
10,1,23,58,39
10,1,23,59,29
10,1,0,0,29
10,1,0,0,19
10,1,0,1,9
10,1,0,2,0
10,1,0,6,59
10,1,0,7,49
10,1,0,8,39
10,1,0,9,29
10,1,0,10,19
10,1,0,11,9
10,1,0,12,0
10,1,0,0,29
10,1,0,0,19
10,1,0,1,9
10,1,0,2,0
10,1,4,54,59
10,1,4,55,49
10,1,4,56,39
10,1,4,57,29
10,1,4,58,19
10,1,4,59,9
10,1,5,44,59
10,1,5,45,49
10,1,5,46,39
10,1,5,47,29
10,1,5,48,19
10,1,5,49,9
10,1,5,50,0
10,1,6,34,59
10,1,6,35,49
10,1,6,36,39
10,1,6,37,29
10,1,6,38,19
10,1,6,39,9
10,1,6,40,0
10,1,7,24,59
10,1,7,25,49
10,1,7,26,39
10,1,7,27,29
10,1,7,28,19
10,1,7,29,9
10,1,7,30,0
10,1,8,14,59
10,1,8,15,49
10,1,8,16,39
10,1,8,17,29
10,1,8,18,19
10,1,8,19,9
10,1,8,20,0
10,1,9,4,59
10,1,9,5,49
10,1,9,6,39
10,1,9,7,29
10,1,9,8,19
10,1,9,9,9
10,1,9,10,0
10,1,10,0,9
10,1,10,0,0
10,1,14,52,59
10,1,14,53,49
10,1,14,54,39
10,1,14,55,29
10,1,14,56,19
10,1,14,57,9
10,1,14,58,0
10,1,15,42,59
10,1,15,43,49
10,1,15,44,39
10,1,15,45,29
10,1,15,46,19
10,1,15,47,9
10,1,15,48,0
10,1,16,32,59
10,1,16,33,49
10,1,16,34,39
10,1,16,35,29
10,1,16,36,19
10,1,16,37,9
10,1,16,38,0
10,1,17,22,59
10,1,17,23,49
10,1,17,24,39
10,1,17,25,29
10,1,17,26,19
10,1,17,27,9
10,1,17,28,0
10,1,18,12,59
10,1,18,13,49
10,1,18,14,39
10,1,18,15,29
10,1,18,16,19
10,1,18,17,9
10,1,18,18,0
10,1,19,2,59
10,1,19,3,49
10,1,19,4,39
10,1,19,5,29
10,1,19,6,19
10,1,19,7,9
10,1,19,8,0
10,1,0,2,59
10,1,0,3,49
10,1,0,4,39
10,1,0,5,29
10,1,0,6,19
10,1,0,7,9
10,1,0,8,0
10,1,4,50,59
10,1,4,51,49
10,1,4,52,39
10,1,4,53,29
10,1,4,54,19
10,1,4,55,9
10,1,4,56,0
10,1,5,40,59
10,1,5,41,49
10,1,5,42,39
10,1,5,43,29
10,1,5,44,19
10,1,5,45,9
10,1,5,46,0
10,1,6,30,59
10,1,6,31,49
10,1,6,32,39
10,1,6,33,29
10,1,6,34,19
10,1,6,35,9
10,1,6,36,0
10,1,7,20,59
10,1,7,21,49
10,1,7,22,39
10,1,7,23,29
10,1,7,24,19
10,1,7,25,9
10,1,7,26,0
10,1,8,10,59
10,1,8,11,49
10,1,8,12,39
10,1,8,13,29
10,1,8,14,19
10,1,8,15,9
10,1,8,16,0
10,1,9,0,59
10,1,9,1,49
10,1,9,2,39
10,1,9,3,29
10,1,9,4,19
10,1,9,5,9
10,1,9,6,0
10,1,13,58,59
10,1,13,59,49
10,1,14,48,59
10,1,14,49,49
10,1,14,50,39
10,1,14,51,29
10,1,14,52,19
10,1,14,53,9
10,1,14,54,0
10,1,15,38,59
10,1,15,39,49
10,1,15,40,39
10,1,15,41,29
10,1,15,42,19
10,1,15,43,9
10,1,15,44,0
10,1,16,28,59
10,1,16,29,49
10,1,16,30,39
10,1,16,31,29
10,1,16,32,19
10,1,16,33,9
10,1,16,34,0
10,1,17,18,59
10,1,17,19,49
10,1,17,20,39
10,1,17,21,29
10,1,17,22,19
10,1,17,23,9
10,1,17,24,0
10,1,18,8,59
10,1,18,9,49
10,1,18,10,39
10,1,18,11,29
10,1,18,12,19
10,1,18,13,9
10,1,18,14,0
10,1,19,0,49
10,1,19,0,39
10,1,19,1,29
10,1,19,2,19
10,1,19,3,9
10,1,19,4,0
10,1,23,56,59
10,1,23,57,49
10,1,23,58,39
10,1,23,59,29
10,1,0,0,49
10,1,0,0,39
10,1,0,1,29
10,1,0,2,19
10,1,0,3,9
10,1,0,4,0
10,1,3,56,59
10,1,3,57,49
10,1,3,58,39
10,1,3,59,29
10,1,4,46,59
10,1,4,47,49
10,1,4,48,39
10,1,4,49,29
10,1,4,50,19
10,1,4,51,9
10,1,4,52,0
10,1,4,56,59
10,1,4,57,49
10,1,4,58,39
10,1,4,59,29
10,1,5,36,59
10,1,5,37,49
10,1,5,38,39
10,1,5,39,29
10,1,5,40,19
10,1,5,41,9
10,1,5,42,0
10,1,5,46,59
10,1,5,47,49
10,1,5,48,39
10,1,5,49,29
10,1,5,50,19
10,1,5,51,9
10,1,5,52,0
10,1,6,26,59
10,1,6,27,49
10,1,6,28,39
10,1,6,29,29
10,1,6,30,19
10,1,6,31,9
10,1,6,32,0
10,1,6,36,59
10,1,6,37,49
10,1,6,38,39
10,1,6,39,29
10,1,6,40,19
10,1,6,41,9
10,1,6,42,0
10,1,7,16,59
10,1,7,17,49
10,1,7,18,39
10,1,7,19,29
10,1,7,20,19
10,1,7,21,9
10,1,7,22,0
10,1,7,26,59
10,1,7,27,49
10,1,7,28,39
10,1,7,29,29
10,1,7,30,19
10,1,7,31,9
10,1,7,32,0
10,1,8,6,59
10,1,8,7,49
10,1,8,8,39
10,1,8,9,29
10,1,8,10,19
10,1,8,11,9
10,1,8,12,0
10,1,8,16,59
10,1,8,17,49
10,1,8,18,39
10,1,8,19,29
10,1,8,20,19
10,1,8,21,9
10,1,8,22,0
10,1,9,0,29
10,1,9,0,19
10,1,9,1,9
10,1,9,2,0
10,1,9,6,59
10,1,9,7,49
10,1,9,8,39
10,1,9,9,29
10,1,9,10,19
10,1,9,11,9
10,1,9,12,0
10,1,10,0,29
10,1,10,0,19
10,1,10,1,9
10,1,10,2,0
10,1,14,54,59
10,1,14,55,49
10,1,14,56,39
10,1,14,57,29
10,1,14,58,19
10,1,14,59,9
10,1,15,44,59
10,1,15,45,49
10,1,15,46,39
10,1,15,47,29
10,1,15,48,19
10,1,15,49,9
10,1,15,50,0
10,1,16,34,59
10,1,16,35,49
10,1,16,36,39
10,1,16,37,29
10,1,16,38,19
10,1,16,39,9
10,1,16,40,0
10,1,17,24,59
10,1,17,25,49
10,1,17,26,39
10,1,17,27,29
10,1,17,28,19
10,1,17,29,9
10,1,17,30,0
10,1,18,14,59
10,1,18,15,49
10,1,18,16,39
10,1,18,17,29
10,1,18,18,19
10,1,18,19,9
10,1,18,20,0
10,1,19,4,59
10,1,19,5,49
10,1,19,6,39
10,1,19,7,29
10,1,19,8,19
10,1,19,9,9
10,1,19,10,0
10,1,20,0,9
10,1,20,0,0
10,1,0,4,59
10,1,0,5,49
10,1,0,6,39
10,1,0,7,29
10,1,0,8,19
10,1,0,9,9
10,1,0,10,0
10,1,0,0,9
10,1,0,0,0
10,1,4,52,59
10,1,4,53,49
10,1,4,54,39
10,1,4,55,29
10,1,4,56,19
10,1,4,57,9
10,1,4,58,0
10,1,5,42,59
10,1,5,43,49
10,1,5,44,39
10,1,5,45,29
10,1,5,46,19
10,1,5,47,9
10,1,5,48,0
10,1,6,32,59
10,1,6,33,49
10,1,6,34,39
10,1,6,35,29
10,1,6,36,19
10,1,6,37,9
10,1,6,38,0
10,1,7,22,59
10,1,7,23,49
10,1,7,24,39
10,1,7,25,29
10,1,7,26,19
10,1,7,27,9
10,1,7,28,0
10,1,8,12,59
10,1,8,13,49
10,1,8,14,39
10,1,8,15,29
10,1,8,16,19
10,1,8,17,9
10,1,8,18,0
10,1,9,2,59
10,1,9,3,49
10,1,9,4,39
10,1,9,5,29
10,1,9,6,19
10,1,9,7,9
10,1,9,8,0
10,1,14,50,59
10,1,14,51,49
10,1,14,52,39
10,1,14,53,29
10,1,14,54,19
10,1,14,55,9
10,1,14,56,0
10,1,15,40,59
10,1,15,41,49
10,1,15,42,39
10,1,15,43,29
10,1,15,44,19
10,1,15,45,9
10,1,15,46,0
10,1,16,30,59
10,1,16,31,49
10,1,16,32,39
10,1,16,33,29
10,1,16,34,19
10,1,16,35,9
10,1,16,36,0
10,1,17,20,59
10,1,17,21,49
10,1,17,22,39
10,1,17,23,29
10,1,17,24,19
10,1,17,25,9
10,1,17,26,0
10,1,18,10,59
10,1,18,11,49
10,1,18,12,39
10,1,18,13,29
10,1,18,14,19
10,1,18,15,9
10,1,18,16,0
10,1,19,0,59
10,1,19,1,49
10,1,19,2,39
10,1,19,3,29
10,1,19,4,19
10,1,19,5,9
10,1,19,6,0
10,1,23,58,59
10,1,23,59,49
